species,region,huntingSeason
Kanadanmajava,Koko maassa,20.8.2017 — 30.4.2018
Piisami,Koko maassa,1.10.2017 — 19.5.2018
Kettu,Lapin maakunnassa,1.8.2017 — 30.4.2018
Kettu,Muualla maassa,1.8.2017 — 14.4.2018
Tarhattu naali eli sinikettu,Koko maassa,"1.8.2017 — 31.7.2018 Naarasta, jolla on pentue ei saa tappaa 1.5.–31.7."
Supikoira,Koko maassa,"1.8.2017 — 31.7.2018 Naarasta, jolla on pentue ei saa tappaa 1.5.–31.7."
Minkki,Koko maassa,"1.8.2017 — 31.7.2018 Naarasta, jolla on pentue ei saa tappaa 1.5.–31.7."
Hilleri,Koko maassa,"1.8.2017 — 31.7.2018 Naarasta, jolla on pentue ei saa tappaa 1.5.–31.7."
Mäyrä,Koko maassa,1.8.2017 — 31.3.2018
Näätä,Koko maassa,1.11.2017 — 31.3.2018
Kärppä,Koko maassa,1.11.2017 — 31.3.2018
Ilves,"Muualla maassa Suomen riistakeskuksen myöntämällä ML 41 a §:n 3 momentissa tarkoitetulla poikkeusluvalla (lukuun ottamatta naarasta, jota vuotta nuorempi pentu seuraa).",1.12.2017 — 28.2.2018
Ilves,"Poronhoitoalueella Suomen riistakeskuksen myöntämällä ML 41 a §:n 3 momentissa tarkoitetulla poikkeusluvalla ( lukuun ottamatta naarasta, jota vuotta nuorempi pentu seuraa).",1.10.2017 — 28.2.2018
Ilves,Suomen riistakeskuksen myöntämällä ML 41 a §:n 1 momentissa tarkoitetulla poikkeusluvalla,1.8.2017 — 31.7.2018
Saukko,ML 41 a §:n 3 momentissa tarkoitettu poikkeuslupa voidaan myöntää: saukon pyydystämiseksi tai tappamiseksi.,1.8.2017 — 31.7.2018 Ajat ilmenevät poikkeuslupapäätöksistä.
Saukko,Suomen riistakeskuksen myöntämällä ML 41 §:ssä tarkoitetulla poikkeusluvalla,1.8.2017 — 31.7.2018 Ajat ilmenevät poikkeuslupapäätöksistä.
Itämeren norppa,Suomen riistakeskuksen myöntämällä ML 10 §:n mukaisella pyyntiluvalla,1.9.2017 — 15.10.2017
Itämeren norppa,Suomen riistakeskuksen myöntämällä ML 10 §:n mukaisella pyyntiluvalla,16.4.2018 — 31.5.2018
